timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1472552518501,Tue Aug 30 03:21:58 PDT 2016,194,4413,1,0,0,Uber的出現 因服務內容明確、平台簡潔、交易程序精簡、路線糾紛減少，並有評價機制穩定服務雙方之水平 的確在服務體現有較好的比例 但並不代表沒有優質的計程車服務 依循相同法規 可確保涉及群體的權利與義務 但並不應強行勒令符合現行法規 而是檢討時下及未來趨勢應有的規範內容
1472403087787,Sun Aug 28 09:51:27 PDT 2016,187,4378,1,0,0,uber就是叫派計程車，談不上運用閒置資源或是共乘
1451878620176,Sun Jan 03 19:37:00 PST 2016,183,4120,1,0,0,探討法律、稅務、安全等問題時，應先理解供需，為什麼民眾會選擇Uber？簡單說就是機會成本的選擇，搭乘Uber比搭乘計程車得到的更多。制定新的控管規定外，還須提升本土產業的競爭力，對任何產業來說都是一樣，如果搭計程車比較好，這問題都不是問題了。與時代和科技一起進步才是解決問題的根本
1438228490557,Wed Jul 29 20:54:50 PDT 2015,138,1476,1,0,-1,Uner只不過是用多餘的時間來賺取微薄的收入，黃牌不用繳交所得稅外還有補助，那麼我們上班族都是腦袋有問題？uber在遠也會來只要各人願意等，政府是該替所有人民想，不是替那些只會反對而不盡職的人說話。
1438155033741,Wed Jul 29 00:30:33 PDT 2015,130,1960,1,0,-1,我覺得搭乘時完全不用擔心身上太多的零錢或是找不開的金額鈔票，一來可以讓司機放心身上不用帶太多錢或是零錢，二來乘客也不用擔心帶不夠錢，三來司機也不用擔心在晚上被搶劫身上財物
1437967277228,Sun Jul 26 20:21:17 PDT 2015,110,1137,1,0,-1,我覺得只要乘車人選擇持有合格駕駛執照及合格車輛並有投保一定金額的乘客意外險。搭乘什麼車又有什麼差別?更何況，我們消費者不能選擇我們喜歡搭乘的交通工具來代步嗎?只要系統業者把關好，自然就不會被大眾淘汰，這也是為什麼現在已經有多數人選擇uber。請讓有心維護乘客安全及服務的平臺順利好好經營。
1443415664780,Sun Sep 27 21:47:44 PDT 2015,176,2436,1,0,-1,我是uber試駕的司機，對公司的管理非常失望!uber固然要向政府爭取合法化，但也保障及爭取司機的權益。本人新車遭酒醉乘客嘔吐穢物，為清理車身異味停業數日; 其後遭遇車禍，無緊急直撥電話，無人關心善後，事後僅告知先用自行保險，公司再設法。以上本人損失慘重，Uber可謂不聞不問!
1440645335561,Wed Aug 26 20:15:35 PDT 2015,167,3585,1,0,-1,https://hk.news.yahoo.com/%E8%AD%A6%E6%89%AE%E5%AE%A2%E7%A0%B4uber%E7%99%BD%E7%89%8C%E8%BB%8A-%E6%8B%985%E5%8F%B8%E6%A9%9F-231200056.html
1440043483856,Wed Aug 19 21:04:43 PDT 2015,163,2138,1,0,-1,服務佳，素質好，又便宜，供需皆益
1439980502803,Wed Aug 19 03:35:02 PDT 2015,159,1065,67,32,1,不管法律層面前提下，uber的媒合效益比較好，計程車的距離效益比較好
