timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body,human-translation,B,translator,google-translation
1435654422024,Tue Jun 30 04:53:42 EDT 2015,4,0,480,180,1,我覺得應該開放司機同時接受多家派遣。,I think we should allow the driver to dispatch for different app companies.,A,Olga Cheng,I think we should open the driver while receiving a number of dispatch.
1435654536236,Tue Jun 30 04:55:36 EDT 2015,7,0,695,35,1,我覺得載客的司機都應該保意外險。,I think all drivers should have auto insurance covered.,A,Olga Cheng,I think the driver should ensure passenger accident insurance.
1435667819880,Tue Jun 30 08:36:59 EDT 2015,12,20,442,235,1,Uber 是媒合平台，就像拍賣網站，屬於資訊業。,"Uber is an online matching platform for the driver and the passenger, just like an online selling website for the seller and the buyer.",A,Olga Cheng,"Uber is a matchmaking platform, like the auction site, belonged to the IT industry."
1435900824151,Fri Jul 03 01:20:24 EDT 2015,16,0,704,35,1,我覺得 UberX 自用車載客時，應該要投保汽車乘客責任險。,I think UberX drivers should have liability insurance covered for the passengers.,A,Olga Cheng,"I think when UberX own passenger car, the car should be insured passenger liability insurance."
1436965020693,Wed Jul 15 08:57:00 EDT 2015,18,0,327,341,1,我覺得UberX目前未依法營業，讓我覺得搭乘時有風險。,"It feels risky to ride on UberX, while it isn’t legitimate business at present.",A,Olga Cheng,"I think UberX currently not operating according to the law, so I think there are risks when traveling."
1436965031690,Wed Jul 15 08:57:11 EDT 2015,19,0,337,321,1,我覺得UberX管理制度不夠透明，讓我難以安心。,I have concerns about the transparency of UberX Management Systems.,A,Olga Cheng,"I think UberX management system is not transparent, so I can not feel at ease."
1436965034304,Wed Jul 15 08:57:14 EDT 2015,20,0,293,374,1,我覺得UberX已與現有國內運輸業產生不公平競爭的情形。,I think UberX has already produced unfair competition with existing domestic taxi companies.,A,Olga Cheng,I think UberX has produced situations of unfair competition with existing domestic transportation.
1437105234799,Thu Jul 16 23:53:54 EDT 2015,30,0,187,465,1,我覺得 UberX 現行不法行為應盡一切努力使其停業，不需要國人表示意見。,I think we should shut down UberX immediately due to all its current illegal business here. No need for further opinions from the people.,A,Olga Cheng,"I think UberX flagrante delicto make every effort should be closed down, people do not need to express an opinion."
1437106232353,Fri Jul 17 00:10:32 EDT 2015,35,0,321,293,1,我認為 UberX 對司機資格的管理方式不夠嚴謹。,I think UberX is not careful enough to select qualified drivers.,A,Olga Cheng,I think UberX management qualifications for drivers is not stringent enough.
1437149350722,Fri Jul 17 12:09:10 EDT 2015,38,2,427,223,1,如果不趕時間，就算在馬路邊有許多計程車，我還是會傾向叫 Uber,"If I am not in a hurry, I prefer to call Uber even though there are already many available taxis on the street.",A,Olga Cheng,"If you do not hurry, even if there are many taxis in the street, I would tend to call Uber"
1437149377082,Fri Jul 17 12:09:37 EDT 2015,39,2,499,104,1,我覺得 UberX 平均而言品質較計程車好,I think the quality on average UberX is better than taxis.,A,Olga Cheng,I feel good UberX average quality than a taxi
